payment_id,loan_id,payment_date,payment_amount
1,45,2024-01-01,100.00
2,23,2024-01-02,150.00
3,67,2024-01-03,200.00
4,89,2024-01-04,250.00
5,12,2024-01-05,300.00
6,34,2024-01-06,350.00
7,56,2024-01-07,400.00
8,78,2024-01-08,450.00
9,90,2024-01-09,500.00
10,11,2024-01-10,550.00
11,22,2024-01-11,600.00
12,33,2024-01-12,650.00
13,44,2024-01-13,700.00
14,55,2024-01-14,750.00
15,66,2024-01-15,800.00
16,77,2024-01-16,850.00
17,88,2024-01-17,900.00
18,99,2024-01-18,950.00
19,10,2024-01-19,1000.00
20,21,2024-01-20,1050.00
21,32,2024-01-21,1100.00
22,43,2024-01-22,1150.00
23,54,2024-01-23,1200.00
24,65,2024-01-24,1250.00
25,76,2024-01-25,1300.00
26,87,2024-01-26,1350.00
27,98,2024-01-27,1400.00
28,9,2024-01-28,1450.00
29,20,2024-01-29,1500.00
30,31,2024-01-30,1550.00
31,42,2024-01-31,1600.00
32,53,2024-02-01,1650.00
33,64,2024-02-02,1700.00
34,75,2024-02-03,1750.00
35,86,2024-02-04,1800.00
36,97,2024-02-05,1850.00
37,8,2024-02-06,1900.00
38,19,2024-02-07,1950.00
39,30,2024-02-08,2000.00
40,41,2024-02-09,2050.00
41,52,2024-02-10,2100.00
42,63,2024-02-11,2150.00
43,74,2024-02-12,2200.00
44,85,2024-02-13,2250.00
45,96,2024-02-14,2300.00
46,7,2024-02-15,2350.00
47,18,2024-02-16,2400.00
48,29,2024-02-17,2450.00
49,40,2024-02-18,2500.00
50,51,2024-02-19,2550.00
51,62,2024-02-20,2600.00
52,73,2024-02-21,2650.00
53,84,2024-02-22,2700.00
54,95,2024-02-23,2750.00
55,6,2024-02-24,2800.00
56,17,2024-02-25,2850.00
57,28,2024-02-26,2900.00
58,39,2024-02-27,2950.00
59,50,2024-02-28,3000.00
60,61,2024-02-29,3050.00
61,72,2024-03-01,3100.00
62,83,2024-03-02,3150.00
63,94,2024-03-03,3200.00
64,5,2024-03-04,3250.00
65,16,2024-03-05,3300.00
66,27,2024-03-06,3350.00
67,38,2024-03-07,3400.00
68,49,2024-03-08,3450.00
69,60,2024-03-09,3500.00
70,71,2024-03-10,3550.00
71,82,2024-03-11,3600.00
72,93,2024-03-12,3650.00
73,4,2024-03-13,3700.00
74,15,2024-03-14,3750.00
75,26,2024-03-15,3800.00
76,37,2024-03-16,3850.00
77,48,2024-03-17,3900.00
78,59,2024-03-18,3950.00
79,70,2024-03-19,4000.00
80,81,2024-03-20,4050.00
81,92,2024-03-21,4100.00
82,3,2024-03-22,4150.00
83,14,2024-03-23,4200.00
84,25,2024-03-24,4250.00
85,36,2024-03-25,4300.00
86,47,2024-03-26,4350.00
87,58,2024-03-27,4400.00
88,69,2024-03-28,4450.00
89,80,2024-03-29,4500.00
90,91,2024-03-30,4550.00
91,2,2024-03-31,4600.00
92,13,2024-04-01,4650.00
93,24,2024-04-02,4700.00
94,35,2024-04-03,4750.00
95,46,2024-04-04,4800.00
96,57,2024-04-05,4850.00
97,68,2024-04-06,4900.00
98,79,2024-04-07,4950.00
99,1,2024-04-08,5000.00
100,33,2024-04-10,1000.00
